user_id,article_1,article_2,article_3,article_4,article_5
200145,160417,160974,284410,166377,183176
200146,234006,337143,114317,208981,284024
200147,234813,285422,175040,285719,160132
200148,160417,272143,160974,158536,64329
200149,124228,348113,159196,42329,206785
200150,162718,235616,348111,235870,336220
200151,236338,205846,156624,297639,156447
200152,272143,119193,123757,31836,303180
200153,160417,158536,162765,156808,156560
200154,272143,182513,59057,324823,63307
200155,276970,207994,161602,166377,285435
200156,123818,160417,124748,156447,123757
200157,161506,276970,203288,156723,235230
200158,284547,235230,313431,157478,97530
200159,157770,224658,324823,32750,236553
200160,158192,236338,235230,277068,161506
200161,202289,206735,202416,202635,207848
200162,0,96210,160557,257291,168623
200163,140528,124350,124748,96755,354086
200164,224658,64329,324823,162655,119193
200165,160417,198659,166581,162655,285808
200166,160132,235715,36605,166581,161506
200167,64329,166581,160417,162655,273395
200168,70755,156624,289090,234813,233478
200169,199474,324823,257291,156723,301030
200170,272143,273395,64329,337082,218337
200171,363910,166377,161439,39894,289126
200172,160417,284547,313431,156624,233658
200173,272143,119193,303180,162655,31836
200174,272242,31836,285333,336223,48403
200175,0,96210,54496,292390,233688
200176,129029,224658,336476,156624,159529
200177,0,96210,54496,292390,160557
200178,160417,313431,336476,162655,235230
200179,297639,235616,156624,272143,159938
200180,87236,0,87174,234006,206735
200181,162655,283123,156447,272143,119193
200182,257291,233478,161506,314356,70646
200183,225463,161506,206606,233658,273673
200184,162655,64329,158536,166581,273395
200185,236566,315105,277068,285675,0
200186,348111,297639,39894,233717,156624
200187,162655,234269,206934,87224,234813
200188,272143,162655,257291,0,202308
200189,119522,300234,348093,159195,233842
200190,235230,162655,70646,313431,272143
200191,59057,214206,63307,218028,48403
200192,97530,284547,235616,29953,336254
200193,272143,285808,175040,160417,285343
200194,272143,162765,160417,162655,336476
200195,160417,183176,158536,284547,87224
200196,272143,160417,162655,198659,64329
200197,214206,284410,233595,160417,133160
200198,336221,225019,336254,97530,57966
200199,160974,161425,162655,225055,166283
200200,156723,235230,161506,233478,58606
200201,300470,313431,234814,39894,225019
200202,276970,214206,303180,31836,285379
200203,272143,160417,218337,224658,162655
200204,276970,272218,159938,156843,324823
200205,156381,160096,124350,272660,123289
200206,233478,235230,313431,156964,161506
200207,70214,158719,124507,236524,235804
200208,233742,214206,62464,235230,235028
200209,124350,162765,272143,160417,284422
200210,206785,202701,277107,237580,206735
200211,271677,214753,123826,123613,157078
200212,271400,156723,70999,124352,166227
200213,70646,157770,156447,156723,156808
200214,224730,214206,36394,96755,42567
200215,161506,276970,272143,68924,236553
200216,111210,235616,276970,234269,284547
200217,0,96210,54496,292390,160557
200218,324329,141894,336314,194645,166283
200219,284547,235230,159196,58580,225019
200220,297639,161602,276970,166377,235824
200221,272143,285808,206606,162655,160417
200222,159938,272218,96755,161506,300470
200223,225019,236338,63307,348112,285333
200224,284547,313431,87224,235230,283764
200225,272143,162655,119193,123757,277068
200226,71531,96768,168623,108855,168734
200227,70646,352983,284547,175040,272143
200228,324823,284547,348111,234813,224658
200229,70646,156624,235230,234615,209348
200230,50715,283996,136465,157300,206112
200231,0,292390,54496,96210,233688
200232,272143,119193,162655,303180,31836
200233,111043,299841,190999,233658,270229
200234,271261,58580,336801,236566,283764
200235,123818,158192,285379,124352,36394
200236,235230,162765,39894,182394,162655
200237,214206,31312,64409,271770,216380
200238,297639,324823,166581,285808,285343
200239,160974,124228,284422,168623,123757
200240,160417,162765,162655,160974,156624
200241,129596,31836,348111,48403,4708
200242,202478,284422,172576,119655,140985
200243,124228,123818,124352,140678,123290
200244,324823,284547,276970,160417,271921
200245,288440,245161,96141,237822,63304
200246,352901,156624,234813,236338,272143
200247,0,292390,54496,96210,160557
200248,160417,162655,64329,198659,166581
200249,324823,31836,160417,271551,64329
200250,36605,111210,234813,243328,236338
200251,285808,272143,324823,206606,225055
200252,187065,97530,156723,285675,123955
200253,272143,64329,224658,198659,285808
200254,235616,235230,48403,234813,31836
200255,285435,324823,233478,119534,336476
200256,285343,236171,272660,160974,162300
200257,156723,156964,48403,277068,96755
200258,215993,181585,183176,128260,119534
200259,214206,129165,31836,236553,59057
200260,337873,140528,58939,168623,123613
200261,285379,284547,235363,129029,307779
200262,0,96210,292390,54496,160557
200263,233717,276946,233478,111210,206112
200264,352902,234813,161506,234814,313431
200265,160417,162300,272143,158536,300470
200266,272143,336476,234698,160974,158536
200267,111210,166377,284901,156447,158536
200268,162655,158536,272143,160974,218337
200269,63304,124228,233478,257291,59758
200270,272143,160417,162765,313431,162655
200271,124352,124748,20691,162655,336476
200272,133287,160417,32082,160132,123909
200273,272143,162655,160417,288980,198659
200274,0,96210,54496,257291,292390
200275,271261,235230,160417,234698,336223
200276,161506,235230,283764,70646,206735
200277,288440,119522,236566,205873,237580
200278,337441,209348,236553,206763,83534
200279,156624,182394,16129,237524,336476
200280,84273,124749,160129,73301,70033
200281,87224,202557,87192,87213,283505
200282,348093,156447,47854,123564,157043
200283,272143,160417,336476,156560,284547
200284,272143,224658,64329,235616,162655
200285,348111,161506,272143,284547,235616
200286,276970,124748,36394,59057,96077
200287,161801,161439,36399,206934,257291
200288,272143,160417,162765,124749,336476
200289,324823,348111,224658,156619,63307
200290,283505,183176,276970,218028,111043
200291,272143,160417,162655,119193,224658
200292,214206,271551,235230,59057,235296
200293,324823,336221,199197,313431,224658
200294,160417,272143,162765,182394,158536
200295,123826,145472,313504,124734,123289
200296,272143,156447,156624,235230,300470
200297,285343,272143,236338,162765,156447
200298,87192,208473,283392,87224,70646
200299,202388,338340,124228,84019,272242
200300,271551,70999,70457,272143,96077
200301,96755,31520,124549,160417,301030
200302,297639,289126,284547,352901,272143
200303,233478,156447,236338,207311,48109
200304,283505,175040,87224,324823,208360
200305,156624,297639,64329,160417,313431
200306,124350,124748,124749,124352,123826
200307,156964,58837,235230,288321,352979
200308,272143,162655,156624,235616,160417
200309,337143,276970,203288,97530,284547
200310,0,96210,54496,292390,168623
200311,87224,224658,156624,299697,87236
200312,234006,338350,313431,124748,206606
200313,272143,160417,182394,64329,64409
200314,0,54496,292390,96210,160557
200315,39894,36399,288321,284547,166227
200316,272143,313920,283764,336476,58580
200317,336476,336221,160417,235230,324823
200318,87224,202308,63307,284547,87228
200319,124350,124352,160417,123290,313431
200320,235230,293218,58099,160132,96755
200321,272143,273395,198659,288980,162655
200322,158192,235230,187065,235028,208473
200323,236338,63307,233717,161506,288321
200324,162655,158536,272143,160974,218337
200325,162655,160417,119193,272143,166228
200326,50504,271551,270607,158882,206168
200327,224658,198659,36605,277492,214631
200328,289090,277491,336220,160417,214206
200329,162655,160417,166581,198659,64329
200330,166581,271551,224658,324823,162655
200331,156619,160417,235230,175040,225019
200332,235616,236338,235230,288321,284547
200333,324823,182513,313431,166581,42693
200334,225019,336221,207603,284547,129165
200335,205846,156381,36399,63307,158906
200336,324823,272143,25325,299697,235870
200337,162765,272143,160417,124749,313431
200338,29766,70429,276970,283392,42437
200339,225010,235230,257291,158192,283764
200340,160974,124352,272143,160417,123818
200341,166377,337435,276946,156654,293301
200342,337087,338336,284898,166227,202442
200343,199197,225019,285808,160974,313431
200344,324823,63307,337082,123368,224658
200345,235230,313431,70646,162655,272143
200346,87224,87192,272143,289090,224658
200347,225463,160974,352983,202355,286321
200348,285377,50504,207720,159196,58580
200349,336220,289090,272143,336223,133160
200350,166377,236338,289126,161439,156560
200351,324823,284547,235230,236338,211442
200352,283009,237524,208360,352902,234269
200353,272143,313431,160132,233478,156624
200354,313431,235230,272143,156624,87224
200355,96077,276970,57748,235525,63307
200356,214206,156723,288321,96560,276946
200357,272143,124748,160417,218028,162655
200358,289090,160417,166581,198659,64329
200359,337441,285377,194289,336476,96127
200360,156723,161506,236553,272218,271551
200361,31836,272143,160417,324823,156624
200362,183176,123289,324823,124748,123757
200363,0,96210,292390,160557,54496
200364,156381,348093,348112,235440,70830
200365,70484,123368,124748,337441,348093
200366,272143,160417,162765,162655,313431
200367,166129,96986,337143,235616,288528
200368,215613,285342,237293,236553,156843
200369,141004,96480,285379,124176,124228
200370,272143,284547,96077,58637,285648
200371,160417,284547,313431,87224,161506
200372,156447,156624,160715,324823,214206
200373,160417,156624,313431,158536,162655
200374,313431,156843,235616,284096,199197
200375,284547,156624,336221,336476,234813
200376,208360,285343,234814,300470,337082
200377,162655,160417,64329,198659,166581
200378,271551,214206,272143,62567,32082
200379,235440,158772,235028,73506,50504
200380,111210,293301,289126,235616,288321
200381,285719,158915,118864,62463,58606
200382,31836,272143,63307,324823,160417
200383,198659,162655,288980,64329,160417
200384,156964,288321,289186,39894,64409
200385,124352,124350,123289,124749,140985
200386,285808,207469,272143,337890,218337
200387,236338,166377,129029,276970,272143
200388,124350,158536,162655,124748,123826
200389,214206,160974,236610,162655,300470
200390,160417,272143,162655,36394,59758
200391,235230,70646,313431,162655,272143
200392,273395,272143,162655,337082,288980
200393,272218,156355,162296,96755,111210
200394,235616,272143,160417,348111,324823
200395,272143,324823,284547,156560,156624
200396,182394,160417,31836,63307,277491
200397,284547,313431,156624,272143,87224
200398,183176,58565,124350,156964,161506
200399,0,54496,96210,160557,168623
200400,235689,0,158642,162655,288435
200401,162655,272143,235230,271551,162765
200402,124350,160417,224763,160974,162655
200403,303180,288604,337082,283123,42985
200404,336254,289090,235616,157478,270229
200405,324823,160417,156447,236338,63307
200406,289090,128260,235616,183176,235854
200407,0,96210,54496,292390,168623
200408,156964,59057,48403,336223,234698
200409,162655,272143,64329,218337,156654
200410,156843,285343,284547,351517,288320
200411,70215,36394,157478,156447,208981
200412,235230,272143,206168,271551,257291
200413,272143,348111,156624,156560,87224
200414,271551,235230,128957,337441,206934
200415,234813,271261,272143,289090,234698
200416,159938,36605,336220,285414,181585
200417,160974,234813,336220,284096,336223
200418,162655,160417,271551,64329,166581
200419,111043,327118,157478,156624,156560
200420,111210,161506,166377,285435,285719
200421,276970,111210,156723,208145,42883
200422,270229,336221,48403,272143,31836
200423,166377,289126,161439,159762,276946
200424,162655,225055,0,272143,64329
200425,87224,286128,95716,236566,96103
200426,285343,234813,337442,156723,293218
200427,233658,303565,87174,31520,225463
200428,300470,225019,36605,313431,63307
200429,288321,156964,166377,276946,285719
200430,284410,32750,324823,64329,236566
200431,271551,336476,235230,313431,199197
200432,156964,48970,48403,272143,158192
200433,237524,156624,288435,234269,32082
200434,214206,236553,272143,48403,59057
200435,160417,162655,285808,206606,199198
200436,124749,70999,285435,124337,158642
200437,283764,87174,157375,285675,70215
200438,313431,123289,31836,156624,271551
200439,160417,87224,284547,313431,156624
200440,156619,59057,58580,57616,214206
200441,233478,96755,96480,214283,42883
200442,235230,70646,162655,272143,313431
200443,285808,272143,324823,224658,225055
200444,162655,160417,271551,198659,313431
200445,59057,336223,336221,233595,235616
200446,285377,233658,31520,337441,270799
200447,272143,162655,288980,198659,160417
200448,157078,257291,124176,233717,84019
200449,225019,70646,87224,271551,313431
200450,352901,289126,234267,236338,289090
200451,0,96210,160557,292390,54496
200452,9308,288435,336476,289090,215993
200453,276970,156964,286161,156619,70646
200454,233742,162655,160146,158642,215674
200455,0,96210,54496,160557,292390
200456,160417,162655,272143,348111,182394
200457,285379,276970,300470,124228,166581
200458,283009,236566,257291,331116,284583
200459,285343,324823,128707,161506,272660
200460,162655,160417,119193,272143,166228
200461,160417,313431,87224,284547,156624
200462,283437,300470,235230,283764,58580
200463,198659,285808,324823,166581,162655
200464,172576,272143,276970,293218,336476
200465,159938,140528,157078,124350,58193
200466,0,96210,54496,292390,168623
200467,272143,119193,283776,162655,160417
200468,31836,272143,160417,63307,284547
200469,354824,254736,161868,352323,289090
200470,63307,236338,276970,161506,235230
200471,236338,272143,277068,57616,288320
200472,233658,336380,206606,108856,272143
200473,156723,124350,198817,129029,124176
200474,234698,235616,64409,336220,285808
200475,235230,161506,313431,284547,235854
200476,338350,272143,64329,161506,156560
200477,198659,64329,224658,162655,324823
200478,272143,313431,236338,233717,271551
200479,313431,235230,156624,236338,272143
200480,276970,277068,160417,25325,168623
200481,272143,63307,168623,336221,96210
200482,123818,124352,124748,123290,140676
200483,313431,199197,156624,129029,182513
200484,158192,235230,313431,70646,156560
200485,324823,336221,63307,236338,315105
200486,272143,162655,198659,160417,288980
200487,123909,214206,124228,288320,25325
200488,0,96210,54496,292390,160557
200489,156723,129029,284547,29953,324823
200490,235230,225010,70646,87215,300470
200491,235616,156723,236338,284547,29953
200492,234698,160974,272660,58565,336221
200493,48403,283009,160974,236207,159938
200494,63307,59057,293050,96755,96480
200495,255354,187065,162378,225019,284583
200496,283009,71035,32082,236566,214206
200497,160417,162765,162655,284547,313431
200498,124176,141000,95977,84074,159790
200499,272143,284547,234698,271261,313431
200500,337441,233658,64329,124749,123289
200501,156355,64329,324823,285343,276970
200502,160417,284547,313431,156624,235230
200503,324823,156560,63307,31520,124350
200504,63307,293513,324823,270607,160129
200505,289090,324823,277068,235616,160417
200506,336220,141004,63307,362914,285379
200507,272143,272218,205948,140528,271400
200508,128707,277068,272660,25325,156964
200509,111210,297639,285342,161602,276970
200510,272143,198659,162655,64329,288980
200511,284547,233717,160132,236338,235230
200512,336223,271261,95972,48403,119193
200513,336223,156964,236610,206538,273395
200514,272143,156624,160417,162655,284547
200515,162655,158536,272143,160974,0
200516,324823,124350,162655,224658,166581
200517,87228,63307,124176,323949,123826
200518,289090,162655,97530,160417,64329
200519,87174,285648,59057,48403,159190
200520,111210,58606,297639,160132,313431
200521,313431,218337,158536,272143,160132
200522,272143,162655,64329,175040,59758
200523,283764,42786,42985,198420,162655
200524,119193,336221,234698,70214,234813
200525,324823,337441,272143,159275,285808
200526,289090,111043,324823,313431,199198
200527,73506,65991,160974,162655,352983
200528,156619,161409,357838,160132,96077
200529,324823,234698,160417,48403,64409
200530,0,96210,54496,160557,292390
200531,162765,338350,124748,157478,215993
200532,215993,225010,205824,57442,87224
200533,0,54496,292390,96210,160557
200534,136465,162655,233717,272143,166282
200535,233717,156624,96077,297639,233478
200536,160417,272143,156624,156447,233658
200537,261569,42883,182394,211825,161100
200538,277107,207603,283009,31836,39894
200539,235230,225019,234267,87224,336221
200540,271261,270229,64346,288435,289003
200541,348111,214206,156447,160417,297639
200542,208473,160132,206112,124350,271261
200543,71076,157478,96755,161425,284339
200544,215993,161580,96244,285813,284096
200545,272143,166581,271551,156624,206730
200546,156624,272143,271551,313431,158192
200547,162655,158536,160974,272143,0
200548,313602,336254,289003,161506,288827
200549,160417,313431,158536,284547,162765
200550,162655,272143,257291,0,202308
200551,352901,233478,271551,58606,293301
200552,313431,288435,297639,272143,289090
200553,70646,235230,270799,236338,57748
200554,124228,59758,158192,124350,140678
200555,288321,96077,234267,285414,289090
200556,208145,161439,363910,293301,159762
200557,271551,63307,313431,96210,30714
200558,233717,123290,156723,124352,157478
200559,235230,272143,313431,129029,182394
200560,123909,161506,348111,141004,68924
200561,236171,234813,162655,59822,145211
200562,162300,160974,289003,123757,156447
200563,348093,47854,348112,36394,64409
200564,233478,276946,271551,96077,124228
200565,285808,235616,348111,162655,234813
200566,285343,64329,168505,97082,160417
200567,64409,336221,161425,234698,160417
200568,284410,162147,158536,288440,162655
200569,162765,272143,160417,313431,162655
200570,160417,160974,272143,162655,336223
200571,235652,299697,202320,123756,225463
200572,59057,242596,31836,336380,272143
200573,162300,124734,158082,261569,352901
200574,285343,233658,272143,160417,286321
200575,236338,160132,313431,293218,158192
200576,124228,272143,119534,307779,233595
200577,158192,235616,272143,313431,284547
200578,272143,182394,160417,64329,218337
200579,175040,324823,285343,313431,207982
200580,234269,284985,272143,235616,32082
200581,162655,160417,166581,271551,313431
200582,271261,270229,324823,293050,141004
200583,235230,70646,272143,162655,313431
200584,39894,277107,352979,202320,336254
200585,128707,59057,156964,336223,129165
200586,160417,156447,158082,160974,162765
200587,83534,233658,31520,324823,87224
200588,162655,300470,166581,64329,16129
200589,271261,50644,336221,16087,236566
200590,64329,162655,160417,182394,166581
200591,161506,159938,235616,234813,272143
200592,337441,160417,20691,272143,313431
200593,235870,324823,214631,254489,42298
200594,207982,206027,224658,156619,156624
200595,207848,202388,58580,202492,205846
200596,59057,64409,157478,288321,48403
200597,324823,129165,336223,160132,236553
200598,156625,272143,59758,156447,160974
200599,64329,160417,162655,124350,123818
200600,214322,331622,140443,303331,216366
200601,272143,160417,162655,119193,224658
200602,162655,160417,119193,198659,271551
200603,124350,124749,58606,166283,118391
200604,235616,156723,289090,348111,272143
200605,162655,160417,166581,198659,119193
200606,156624,158192,235230,284339,159938
200607,276970,271551,257291,83565,124228
200608,337441,237822,58580,199474,42693
200609,161100,257291,161801,214206,215993
200610,285808,272143,324823,224658,225055
200611,0,96210,54496,160557,292390
200612,162765,160417,272143,124749,158536
200613,39894,272143,352979,31836,156624
200614,257291,111210,58606,233478,166377
200615,160417,313431,336476,235230,64329
200616,234006,338350,157478,336254,283505
200617,59057,283996,236338,48403,272143
200618,271551,166581,206168,206934,156624
200619,235525,63307,70646,313431,235230
200620,162655,160417,198659,271551,166581
200621,272143,119193,233658,162655,31836
200622,162765,124350,158082,160417,166377
200623,39894,208360,224658,271551,348111
200624,284547,313431,272143,175040,271551
200625,218337,158536,272143,162765,162655
200626,235616,272143,336221,237524,156624
200627,271551,206027,272143,313431,124350
200628,215993,284339,289090,124176,276946
200629,62764,272218,300470,284985,160417
200630,214206,59057,224658,175040,64329
200631,314356,235230,233478,129029,285719
200632,160132,58606,214800,272143,235616
200633,128957,271551,257291,271261,272143
200634,214206,348111,236338,48403,182394
200635,198659,166581,285808,324823,273395
200636,288440,283437,71161,59057,16129
200637,87224,158536,87192,156560,124749
200638,58580,225010,38625,65991,59057
200639,157478,313431,158047,166377,289079
200640,162655,158536,272143,160974,218337
200641,50504,39894,277107,283009,218028
200642,160417,84914,313996,87696,0
200643,352902,272143,206735,234269,158192
200644,162378,215613,202355,271261,111043
200645,261476,304261,160148,160715,31267
200646,272143,162765,160417,313431,336476
200647,58580,324823,336254,206462,271261
200648,313431,225019,236338,32082,235230
200649,271551,235230,183176,70999,158192
200650,198659,166581,285808,160417,224658
200651,289090,159938,124749,277492,234267
200652,276970,272143,286161,156723,285379
200653,31836,272143,48403,64409,235616
200654,276970,285379,324823,207994,158192
200655,300470,162655,16129,225055,166283
200656,198144,166377,118391,157078,160940
200657,271551,63307,64329,324823,198659
200658,214206,348112,182394,162655,58193
200659,87224,270799,124228,271551,297639
200660,124352,233478,233717,124350,156624
200661,162765,272143,160417,162655,336476
200662,39894,336254,236338,161506,313431
200663,272143,160417,313431,124228,162655
200664,285343,87224,284547,313431,158536
200665,234698,234813,285343,284773,234269
200666,285343,284547,272143,285648,199197
200667,272143,208145,224658,225055,208430
200668,234813,272143,235616,289090,336220
200669,300470,307856,199114,162655,198613
200670,162765,348111,66390,214206,357895
200671,236338,161506,352901,208531,234267
200672,236553,285379,276970,352902,289003
200673,285343,225463,337082,123290,157332
200674,208531,225019,235230,202388,156619
200675,62464,272143,233717,71035,289090
200676,233658,87192,87224,285343,156560
200677,160417,272143,160974,166283,64329
200678,175040,313431,206168,87232,161801
200679,124228,123757,141004,156619,124352
200680,272143,156624,162655,235616,168623
200681,352983,124228,285663,42770,36484
200682,129029,161506,158915,300082,236338
200683,324823,272143,276970,224658,285808
200684,87224,289090,324823,272143,313431
200685,348111,174236,235230,233420,289003
200686,95743,195009,225019,234006,235824
200687,348111,236207,162765,160417,118864
200688,284452,284547,70646,233658,235230
200689,235230,70646,162655,158192,272143
200690,336380,158642,83534,97433,293114
200691,16129,289003,283009,64409,206415
200692,96077,161409,70457,233478,276970
200693,31836,289090,48403,59057,348112
200694,32082,288435,96755,182394,156560
200695,70999,124350,96755,293114,128957
200696,57616,336476,235230,156624,175040
200697,271261,336221,225019,128707,324823
200698,160417,214206,162765,162655,300470
200699,272143,162655,198659,288980,160417
200700,156624,162765,218337,285343,348111
200701,235230,284547,157478,236338,129029
200702,313431,272143,235230,87224,156624
200703,324823,235616,284096,161506,234269
200704,158906,124350,124337,123756,158114
200705,233658,190999,299841,87224,286128
200706,324823,224658,272143,235616,31836
200707,283764,156964,272218,32082,156052
200708,289126,158915,236338,64409,293432
200709,123818,124352,124350,123757,272143
200710,235616,234269,237618,111210,235854
200711,285808,160417,162655,166581,224658
200712,234698,156723,236338,32082,255354
200713,214206,270229,31836,233595,336476
200714,289090,160417,284583,293062,166581
200715,285343,235230,284547,156723,187065
200716,284602,71035,128957,158082,158608
200717,331116,271551,313431,235230,58235
200718,336254,157478,286161,293218,276970
200719,272143,297639,160974,225055,162655
200720,272143,289090,234813,160417,175040
200721,123818,156723,123290,124228,124748
200722,123613,272218,338339,293114,160940
200723,243328,303331,87174,286128,324823
200724,128957,162765,124549,123826,285803
200725,337441,159529,224658,59057,272143
200726,272143,162765,160417,313431,199197
200727,236338,160132,166377,214206,257291
200728,236338,289126,161506,313431,156723
200729,129029,206934,285343,71500,206168
200730,166581,272660,225463,300470,198659
200731,0,292390,96210,168623,54496
200732,162655,158536,272143,160974,64329
200733,235230,158192,272143,313431,59057
200734,234813,235616,224658,234267,160417
200735,181585,159938,124350,160940,288435
200736,156447,299697,233658,157770,190999
200737,157815,272143,58235,58580,36394
200738,158915,284422,156723,336221,293218
200739,336380,160417,160974,73506,124749
200740,124749,272143,162655,218337,64329
200741,235230,70646,162655,272143,271551
200742,272143,324823,236338,284547,175040
200743,272143,160417,162655,162765,218337
200744,0,292390,96210,54496,160557
200745,0,96210,54496,292390,160557
200746,160417,156619,160715,300470,313431
200747,162655,160417,272143,124748,160974
200748,218337,270229,31520,348112,285342
200749,288435,128260,289090,198659,300470
200750,289126,293301,36282,285435,29953
200751,257291,70646,285343,214800,156723
200752,156843,156808,214206,157300,156964
200753,129029,285343,36605,158192,29953
200754,57616,288320,214206,31836,205973
200755,162655,158536,160974,272143,218337
200756,285343,158906,313995,293513,337143
200757,235870,336223,324823,156964,271261
200758,332198,272143,271261,288440,50504
200759,272143,124748,160417,218028,214206
200760,272143,225055,225019,119193,162655
200761,225019,159190,58580,206763,233595
200762,5292,173869,235854,111210,257291
200763,124350,123289,293062,337441,235028
200764,162765,272660,235230,160417,272143
200765,162655,324823,166581,313431,175040
200766,235230,283764,284547,96077,225019
200767,233478,157478,218028,285719,257291
200768,161506,162296,64409,48644,156843
200769,283009,214206,160417,236553,161506
200770,215993,352979,277107,39894,336245
200771,235230,70646,313431,272143,162655
200772,348112,348093,71161,285533,236566
200773,336245,96210,284410,206763,160417
200774,160132,156723,124350,160417,324823
200775,208145,159275,235804,36605,235824
200776,58099,272242,277492,58606,160132
